RENUKA,ALOKINDS,SADBHAV,TATACHEM,NIITLTD,NAVA,SURYAROSNI,JINDALPOLY,HMT,PFC,DALMIASUG,SREINFRA,EVEREADY,GHCL,FACT,WSTCSTPAPR,PTC,ELECON,INDIANB,JINDALSAW,IRB,POLYPLEX,RECLTD,JKPAPER,KTKBANK,BOMDYEING,JKIL,HCC,NCC,GNFC,GAIL,COSMOFIRST,DAAWAT,HINDOILEXP,PCBL,CHAMBLFERT,CESC,NLCINDIA,TNPL,SAIL,start,end,sharpe_ratio,returns,risk,method
12.199999809265137,5.25,289.299072265625,288.9320678710937,65.69845581054688,64.860595703125,59.74269104003906,351.164306640625,39.70000076293945,33.728843688964844,57.51683807373047,56.99177169799805,248.76058959960935,81.43829345703125,20.2613582611084,48.42018508911133,35.52541732788086,60.22174835205078,78.05447387695312,40.61817169189453,19.980491638183597,128.48037719726562,33.09166717529297,37.57645034790039,55.30903244018555,49.45074462890625,309.4822692871094,17.04606056213379,56.28750228881836,60.99107360839844,47.7333984375,130.39877319335938,20.3708438873291,29.5,8.29031753540039,48.68663787841797,30.097383499145508,45.7745361328125,156.20208740234375,35.48996353149414,,,,,,
11.550000190734863,5.099999904632568,290.97247314453125,279.0225830078125,69.82283782958984,65.38069152832031,59.24663925170898,370.8680725097656,40.400001525878906,32.59178924560547,56.7829704284668,56.89598846435547,246.793701171875,81.97325897216797,20.71050262451172,48.09738540649414,35.22021484375,61.65901947021485,77.66071319580078,39.62850189208984,20.573131561279297,128.87014770507812,32.43132400512695,38.09002685546875,55.68274688720703,48.877960205078125,307.82354736328125,17.090919494628906,55.89203643798828,62.22071838378906,47.98707962036133,139.20208740234375,20.421720504760746,29.649999618530277,8.21905517578125,45.368045806884766,29.846660614013672,45.83732986450195,158.8988800048828,35.48996353149414,,,,,,
12.25,5.199999809265137,298.3058166503906,283.36309814453125,70.03114318847656,66.33421325683594,61.29558181762695,434.3479614257813,41.95000076293945,34.82215881347656,61.04857635498047,57.42280197143555,259.2833557128906,90.40927124023438,21.30936050415039,51.486793518066406,36.77674102783203,63.52747344970703,80.54837799072266,41.23672866821289,21.02763557434082,142.4827880859375,34.14264297485352,38.51800155639648,57.49378967285156,49.88033676147461,321.0469665527344,17.943222045898438,58.13299179077149,62.958526611328125,51.71470642089844,145.77833557128906,21.03691673278809,30.799999237060547,8.385334968566895,46.12417984008789,30.40910148620605,46.46523666381836,163.69699096679688,37.036746978759766,,,,,,
12.149999618530272,5.150000095367432,303.129150390625,285.0010986328125,70.906005859375,66.37754821777344,61.92103958129883,438.0793762207031,43.900001525878906,35.46721649169922,61.36963653564453,56.7523078918457,247.87548828125,86.58219909667969,21.55888557434082,51.24469375610352,37.78390502929688,60.3654670715332,81.20466613769531,41.60785675048828,20.934064865112305,142.21292114257812,34.700679779052734,39.37395477294922,57.03384399414063,50.21446228027344,316.0709228515625,18.25722885131836,56.06779479980469,65.3768539428711,50.270164489746094,153.42884826660156,21.624357223510746,31.100000381469727,8.389294624328613,47.80447769165039,29.243560791015625,46.71641159057617,167.89974975585938,37.42344284057617,,,,,,
12.100000381469728,5.25,300.8159484863281,287.8264465332031,74.3221664428711,68.21955871582031,63.30137634277344,448.5001525878906,43.59999847412109,36.52773284912109,59.81016540527344,56.56074142456055,245.41688537597656,92.3022232055664,21.00993156433105,51.44644546508789,38.3027458190918,61.994384765625,81.9484634399414,42.10269927978516,21.06328773498535,144.0718994140625,34.78437805175781,40.015926361083984,57.43631362915039,50.405391693115234,318.23638916015625,18.705808639526367,55.935977935791016,66.85244750976562,50.49565887451172,163.51596069335938,22.803869247436523,30.899999618530277,8.515985488891602,47.59443664550781,30.300676345825195,47.56407928466797,172.62782287597656,37.466407775878906,,,,,,
11.949999809265137,5.199999809265137,294.86065673828125,282.8717041015625,72.8223876953125,68.00286865234375,63.23668670654297,454.5068359375,43.5,36.52773284912109,61.690704345703125,55.84235763549805,245.0235137939453,96.33504486083984,20.96002769470215,51.52714538574219,37.99754333496094,61.41947937011719,79.1482925415039,41.27796173095703,20.938520431518555,142.75259399414062,34.914581298828125,40.22991561889648,56.68888473510742,50.6440544128418,325.42401123046875,19.42353820800781,54.52988815307617,70.58240509033203,50.87617111206055,163.85655212402344,23.01664352416992,31.399999618530277,8.444722175598145,47.720462799072266,30.38876342773437,45.61756134033203,173.1181182861328,36.73598098754883,,,,,,
12.199999809265137,5.099999904632568,304.1627502441406,289.3825378417969,71.28096008300781,67.85115814208984,65.02680206298828,467.8398742675781,46.09999847412109,38.28797912597656,63.98404693603516,59.29060363769531,245.41688537597656,97.61072540283205,21.25945472717285,51.486793518066406,39.218353271484375,62.569297790527344,80.02334594726562,41.27796173095703,21.660385131835938,145.0013885498047,35.863258361816406,40.22991561889648,56.746376037597656,50.97818756103516,334.132080078125,19.602970123291016,56.59508514404297,67.63121795654297,51.947242736816406,162.41552734375,22.81311798095703,32.599998474121094,8.468477249145508,48.56060791015625,30.6496639251709,45.586158752441406,173.0831298828125,36.77894973754883,,,,,,
12.449999809265137,5.099999904632568,304.3103332519531,297.5312805175781,70.94766998291016,67.76449584960938,64.07781219482422,449.5467529296875,45.900001525878906,37.92718124389648,70.95577239990234,58.62010955810547,243.35166931152344,101.9727554321289,21.608789443969727,51.04294204711914,39.218353271484375,66.40201568603516,80.32962036132812,40.906829833984375,21.713855743408203,146.83042907714844,36.012062072753906,40.9146842956543,56.34392547607422,50.97818756103516,331.321533203125,20.00669288635254,57.73752212524414,66.44255065917969,51.88383102416992,153.71702575683594,23.067523956298828,31.75,8.607043266296387,48.51860046386719,30.517520904541016,47.18733978271485,178.40660095214844,36.693016052246094,,,,,,
12.149999618530272,5.150000095367432,298.8472595214844,292.6993713378906,67.0315933227539,65.61907958984375,62.4818000793457,428.0227661132813,46.29999923706055,36.9869270324707,73.43258666992188,56.60863494873047,237.1068420410156,95.71778106689452,21.30936050415039,51.3657455444336,37.93650817871094,62.042293548583984,77.3106918334961,39.66973114013672,21.277172088623047,146.14077758789062,34.55186462402344,39.97312545776367,56.4876594543457,49.59394454956055,339.7071533203125,18.12265396118164,55.36475372314453,66.89342498779297,50.97482681274414,151.4114532470703,22.76223564147949,30.75,8.472434997558594,47.93050384521485,29.948305130004883,44.89547348022461,175.9550018310547,33.81428527832031,,,,,,
11.75,5.099999904632568,292.6458740234375,291.3070983886719,65.53182220458984,64.6872329711914,59.11722946166992,407.7273559570313,44.5,36.14507293701172,70.35951232910156,53.8787727355957,228.15756225585935,91.97300720214844,20.21145439147949,49.79208755493164,36.95986175537109,61.13201904296875,74.07300567626953,37.814083099365234,20.75582695007324,140.6837615966797,33.277679443359375,38.64640045166016,54.50411987304688,45.63215255737305,330.63043212890625,17.853506088256836,54.398067474365234,62.71258544921875,50.74932861328125,146.2761688232422,21.619733810424805,29.950000762939453,8.195300102233887,47.59443664550781,29.768726348876957,43.70243835449219,160.29977416992188,33.34165954589844,,,,,,
