Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
99,PIIND,PI Industries Limited,"4,597,362.41",LARGECAP
100,IRCTC,Indian Railway Catering And Tourism Corporation Limited,"4,582,400.00",LARGECAP
101,CGPOWER,CG Power and Industrial Solutions Limited,"4,582,157.87",LARGECAP
102,UNIONBANK,Union Bank of India,"4,548,524.44",LARGECAP
103,MOTHERSON,Samvardhana Motherson International Limited,"4,546,978.74",LARGECAP
104,CUMMINSIND,Cummins India Limited,"4,517,251.20",LARGECAP
105,SCHAEFFLER,Schaeffler India Limited,"4,482,085.89",LARGECAP
106,LODHA,Macrotech Developers Limited,"4,482,081.89",LARGECAP
107,ZOMATO,Zomato Limited,"4,362,289.98",LARGECAP
108,PGHH,Procter & Gamble Hygiene and Health Care Limited,"4,330,148.57",LARGECAP
109,YESBANK,Yes Bank Limited,"4,327,568.69",LARGECAP
110,POLYCAB,Polycab India Limited,"4,313,091.31",LARGECAP
111,MAXHEALTH,Max Healthcare Institute Limited,"4,282,467.47",LARGECAP
112,IOB,Indian Overseas Bank,"4,243,591.55",LARGECAP
113,PAGEIND,Page Industries Limited,"4,227,686.32",LARGECAP
114,COLPAL,Colgate Palmolive (India) Limited,"4,099,775.45",LARGECAP
115,ASHOKLEY,Ashok Leyland Limited,"4,087,089.17",LARGECAP
116,ALKEM,Alkem Laboratories Limited,"4,060,546.97",LARGECAP
117,NHPC,NHPC Limited,"4,038,103.99",LARGECAP
118,PAYTM,One 97 Communications Limited,"4,035,963.37",LARGECAP
119,PFC,Power Finance Corporation Limited,"4,006,323.54",LARGECAP
120,JSWENERGY,JSW Energy Limited,"3,961,201.35",LARGECAP
121,MUTHOOTFIN,Muthoot Finance Limited,"3,933,982.78",LARGECAP
122,AUBANK,AU Small Finance Bank Limited,"3,861,418.89",LARGECAP
123,INDUSTOWER,Indus Towers Limited,"3,853,759.84",LARGECAP
124,BALKRISIND,Balkrishna Industries Limited,"3,772,488.30",LARGECAP
125,UBL,United Breweries Limited,"3,766,319.14",LARGECAP
126,ABCAPITAL,Aditya Birla Capital Limited,"3,712,829.85",LARGECAP
