Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",CAP
815,KPIGREEN,KPI Green Energy Limited,150896,SMALLCAP
816,BFINVEST,BF Investment Limited,150237,SMALLCAP
817,SESHAPAPER,Seshasayee Paper and Boards Limited,148652,SMALLCAP
818,DHAMPURSUG,Dhampur Sugar Mills Limited,148409,SMALLCAP
819,ANDHRSUGAR,The Andhra Sugars Limited,147056,SMALLCAP
820,KIRIINDUS,Kiri Industries Limited,146717,SMALLCAP
821,TTKHLTCARE,TTK Healthcare Limited,146673,SMALLCAP
822,CARYSIL,CARYSIL LIMITED,146041,SMALLCAP
823,GOCLCORP,GOCL Corporation Limited,146041,SMALLCAP
824,JSWISPL,JSW Ispat Special Products Limited,146029,SMALLCAP
825,STERTOOLS,Sterling Tools Limited,145015,SMALLCAP
826,SHALBY,Shalby Limited,144949,SMALLCAP
827,TIDEWATER,Tide Water Oil Company (India) Limited,144602,SMALLCAP
828,KRSNAA,Krsnaa Diagnostics Limited,144492,SMALLCAP
829,KRISHANA,Krishana Phoschem Limited,144119,SMALLCAP
830,HUHTAMAKI,Huhtamaki India Limited,143114,SMALLCAP
831,BBL,Bharat Bijlee Limited,143106,SMALLCAP
832,SEPC,SEPC Limited,142625,SMALLCAP
833,ORISSAMINE,The Orissa Minerals Development Company Limited,142155,SMALLCAP
834,FILATEX,Filatex India Limited,141985,SMALLCAP
835,THEJO,Thejo Engineering Limited,141954,SMALLCAP
836,APTECHT,Aptech Limited,141273,SMALLCAP
837,ORIENTHOT,Oriental Hotels Limited,140736,SMALLCAP
838,DCXINDIA,DCX Systems Limited,140685,SMALLCAP
839,FOSECOIND,Foseco India Limited,140445,SMALLCAP
840,GOLDIAM,Goldiam International Limited,140032,SMALLCAP
841,SHANKARA,Shankara Building Products Limited,139975,SMALLCAP
842,INSECTICID,Insecticides (India) Limited,138207,SMALLCAP
843,THANGAMAYL,Thangamayil Jewellery Limited,137896,SMALLCAP
844,SHK,S H Kelkar and Company Limited,137729,SMALLCAP
845,TEXRAIL,Texmaco Rail & Engineering Limited,136634,SMALLCAP
846,CANTABIL,Cantabil Retail India Limited,135674,SMALLCAP
847,GALLANTT,Gallantt Ispat Limited,134273,SMALLCAP
848,HERITGFOOD,Heritage Foods Limited,133765,SMALLCAP
849,KCP,KCP Limited,133433,SMALLCAP
850,MOREPENLAB,Morepen Laboratories Limited,131882,SMALLCAP
851,GATI,GATI Limited,130781,SMALLCAP
852,RAMASTEEL,Rama Steel Tubes Limited,129732,SMALLCAP
853,HESTERBIO,Hester Biosciences Limited,129543,SMALLCAP
854,NRBBEARING,NRB Bearing Limited,129489,SMALLCAP
855,INDOSTAR,IndoStar Capital Finance Limited,129033,SMALLCAP
856,MONTECARLO,Monte Carlo Fashions Limited,128902,SMALLCAP
857,KSL,Kalyani Steels Limited,128689,SMALLCAP
858,KDDL,KDDL Limited,128568,SMALLCAP
859,TCPLPACK,TCPL Packaging Limited,128201,SMALLCAP
860,MARATHON,Marathon Nextgen Realty Limited,128017,SMALLCAP
861,ARVSMART,Arvind SmartSpaces Limited,128006,SMALLCAP
862,DCW,DCW Limited,127950,SMALLCAP
863,DEN,Den Networks Limited,127896,SMALLCAP
864,STEELXIND,STEEL EXCHANGE INDIA LIMITED,127415,SMALLCAP
865,EIHAHOTELS,EIH Associated Hotels Limited,127144,SMALLCAP
866,IGPL,IG Petrochemicals Limited,127075,SMALLCAP
867,NITINSPIN,Nitin Spinners Limited,126636,SMALLCAP
868,EXPLEOSOL,Expleo Solutions Limited,125988,SMALLCAP
869,VERANDA,Veranda Learning Solutions Limited,125853,SMALLCAP
870,SALASAR,Salasar Techno Engineering Limited,125809,SMALLCAP
871,STYRENIX,Styrenix Performance Materials Limited,125790,SMALLCAP
872,ADORWELD,Ador Welding Limited,125187,SMALLCAP
873,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,124658,SMALLCAP
874,PCJEWELLER,PC Jeweller Limited,124496,SMALLCAP
875,GENESYS,Genesys International Corporation Limited,124046,SMALLCAP
876,STOVEKRAFT,Stove Kraft Limited,123844,SMALLCAP
877,RANEHOLDIN,Rane Holdings Limited,123639,SMALLCAP
878,NDTV,New Delhi Television Limited,123591,SMALLCAP
879,XPROINDIA,Xpro India Limited,122624,SMALLCAP
880,MANORAMA,Manorama Industries Limited,122440,SMALLCAP
881,GRWRHITECH,Garware Hi-Tech Films Limited,122260,SMALLCAP
882,HARIOMPIPE,Hariom Pipe Industries Limited,121942,SMALLCAP
883,SANDHAR,Sandhar Technologies Limited,121495,SMALLCAP
884,AVTNPL,AVT Natural Products Limited,120913,SMALLCAP
885,IWEL,Inox Wind Energy Limited,120742,SMALLCAP
886,SJS,S.J.S. Enterprises Limited,120549,SMALLCAP
887,EVERESTIND,Everest Industries Limited,118938,SMALLCAP
888,FAIRCHEMOR,Fairchem Organics Limited,118900,SMALLCAP
889,SASKEN,Sasken Technologies Limited,118390,SMALLCAP
890,OAL,Oriental Aromatics Limited,118242,SMALLCAP
891,NELCO,NELCO Limited,118074,SMALLCAP
892,RIIL,Reliance Industrial Infrastructure Limited,118059,SMALLCAP
893,SOLARA,Solara Active Pharma Sciences Limited,117870,SMALLCAP
894,TAJGVK,Taj GVK Hotels & Resorts Limited,117722,SMALLCAP
895,BOMDYEING,Bombay Dyeing & Mfg Company Limited,117209,SMALLCAP
896,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,116026,SMALLCAP
897,GOODLUCK,Goodluck India Limited,115907,SMALLCAP
898,RPGLIFE,RPG Life Sciences Limited,115848,SMALLCAP
899,PATELENG,Patel Engineering Limited,115656,SMALLCAP
900,SPIC,Southern Petrochemicals Industries Corporation  Limited,114955,SMALLCAP
901,INOXGREEN,Inox Green Energy Services Limited,114878,SMALLCAP
902,GIPCL,Gujarat Industries Power Company Limited,114800,SMALLCAP
903,UNIVCABLES,Universal Cables Limited,114716,SMALLCAP
904,NSIL,Nalwa Sons Investments Limited,114506,SMALLCAP
905,HMT,HMT Limited,113765,SMALLCAP
906,MATRIMONY,Matrimony.Com Limited,113725,SMALLCAP
907,MTNL,Mahanagar Telephone Nigam Limited,113715,SMALLCAP
908,SDBL,Som Distilleries & Breweries Limited,113524,SMALLCAP
909,VALIANTORG,Valiant Organics Limited,113189,SMALLCAP
910,ARMANFIN,Arman Financial Services Limited,112901,SMALLCAP
911,REPCOHOME,Repco Home Finance Limited,112454,SMALLCAP
912,HERANBA,Heranba Industries Limited,111998,SMALLCAP
913,BFUTILITIE,BF Utilities Limited,111929,SMALLCAP
914,PRECWIRE,Precision Wires India Limited,111098,SMALLCAP
915,AXITA,Axita Cotton Limited,110958,SMALLCAP
916,GRMOVER,GRM Overseas Limited,110070,SMALLCAP
917,GTPL,GTPL Hathway Limited,109820,SMALLCAP
918,IGARASHI,Igarashi Motors India Limited,109565,SMALLCAP
919,INFOBEAN,InfoBeans Technologies Limited,109116,SMALLCAP
920,ALICON,Alicon Castalloy Limited,109045,SMALLCAP
921,THEMISMED,Themis Medicare Limited,108579,SMALLCAP
922,TVTODAY,TV Today Network Limited,108000,SMALLCAP
923,WHEELS,Wheels India Limited,107966,SMALLCAP
924,RPSGVENT,RPSG VENTURES LIMITED,107687,SMALLCAP
925,RAMCOIND,Ramco Industries Limited,107687,SMALLCAP
926,SMLISUZU,SML Isuzu Limited,107452,SMALLCAP
927,AHL,Abans Holdings Limited,107037,SMALLCAP
928,UNIENTER,Uniphos Enterprises Limited,106197,SMALLCAP
929,SATIN,Satin Creditcare Network Limited,105986,SMALLCAP
930,KUANTUM,Kuantum Papers Limited,105894,SMALLCAP
931,GANESHBE,Ganesh Benzoplast Limited,105859,SMALLCAP
932,SUVEN,Suven Life Sciences Limited,105766,SMALLCAP
933,SATIA,Satia Industries Limited,105500,SMALLCAP
934,GULPOLY,Gulshan Polyols Limited,105146,SMALLCAP
935,UGARSUGAR,The Ugar Sugar Works Limited,104288,SMALLCAP
936,MANALIPETC,Manali Petrochemicals Limited,103716,SMALLCAP
937,PIXTRANS,Pix Transmissions Limited,103626,SMALLCAP
938,SHRIRAMPPS,Shriram Properties Limited,103423,SMALLCAP
939,RADIANTCMS,Radiant Cash Management Services Limited,103080,SMALLCAP
940,PNBGILTS,PNB Gilts Limited,102966,SMALLCAP
941,INDORAMA,Indo Rama Synthetics (India) Limited,102617,SMALLCAP
942,ASHAPURMIN,Ashapura Minechem Limited,102556,SMALLCAP
943,UGROCAP,Ugro Capital Limited,102346,SMALLCAP
944,AXISCADES,AXISCADES Technologies Limited,102183,SMALLCAP
945,HITECH,Hi-Tech Pipes Limited,102057,SMALLCAP
946,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,101506,SMALLCAP
947,SURYODAY,Suryoday Small Finance Bank Limited,101116,SMALLCAP
948,EKC,Everest Kanto Cylinder Limited,101099,SMALLCAP
949,JASH,Jash Engineering Limited,100998,SMALLCAP
950,DPSCLTD,DPSC Limited,100787,SMALLCAP
951,TARC,TARC Limited,100628,SMALLCAP
952,BHARATWIRE,Bharat Wire Ropes Limited,99994,SMALLCAP
953,EXCELINDUS,Excel Industries Limited,99943,SMALLCAP
954,SPECIALITY,Speciality Restaurants Limited,99762,SMALLCAP
955,ANUP,The Anup Engineering Limited,99130,SMALLCAP
956,SKIPPER,Skipper Limited,98769,SMALLCAP
957,AJMERA,Ajmera Realty & Infra India Limited,98258,SMALLCAP
958,SHALPAINTS,Shalimar Paints Limited,98251,SMALLCAP
959,GMBREW,GM Breweries Limited,97703,SMALLCAP
960,SANGAMIND,Sangam (India) Limited,96873,SMALLCAP
961,SHIVALIK,Shivalik Rasayan Limited,96795,SMALLCAP
962,GMRP&UI,GMR Power and Urban Infra Limited,96273,SMALLCAP
963,PENIND,Pennar Industries Limited,95474,SMALLCAP
964,GEOJITFSL,Geojit Financial Services Limited,95398,SMALLCAP
965,BCLIND,Bcl Industries Limited,95079,SMALLCAP
966,DBOL,Dhampur Bio Organics Limited,95034,SMALLCAP
967,SHAILY,Shaily Engineering Plastics Limited,94340,SMALLCAP
968,LIKHITHA,Likhitha Infrastructure Limited,92905,SMALLCAP
969,MADRASFERT,Madras Fertilizers Limited,92553,SMALLCAP
970,STEELCAS,Steelcast Limited,92375,SMALLCAP
971,MKPL,M K Proteins Limited,91341,SMALLCAP
972,ROSSELLIND,Rossell India Limited,91320,SMALLCAP
973,KITEX,Kitex Garments Limited,91205,SMALLCAP
974,PRAKASH,Prakash Industries Limited,91153,SMALLCAP
975,ARTEMISMED,Artemis Medicare Services Limited,91067,SMALLCAP
976,RICOAUTO,Rico Auto Industries Limited,90979,SMALLCAP
977,OMAXE,Omaxe Limited,90902,SMALLCAP
978,CENTUM,Centum Electronics Limited,90870,SMALLCAP
979,ROTO,Roto Pumps Limited,90799,SMALLCAP
980,PRECAM,Precision Camshafts Limited,90427,SMALLCAP
981,BIGBLOC,Bigbloc Construction Limited,90396,SMALLCAP
982,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,89445,SMALLCAP
983,CLSEL,Chaman Lal Setia Exports Limited,88827,SMALLCAP
984,GTLINFRA,GTL Infrastructure Limited,88698,SMALLCAP
985,PGIL,Pearl Global Industries Limited,88649,SMALLCAP
986,UTTAMSUGAR,Uttam Sugar Mills Limited,88213,SMALLCAP
987,AVADHSUGAR,Avadh Sugar & Energy Limited,87310,SMALLCAP
988,PITTIENG,Pitti Engineering Limited,86840,SMALLCAP
989,5PAISA,5Paisa Capital Limited,86699,SMALLCAP
990,NAHARSPING,Nahar Spinning Mills Limited,86665,SMALLCAP
991,SPCENET,Spacenet Enterprises India Limited,86188,SMALLCAP
992,SPORTKING,Sportking India Limited,85928,SMALLCAP
993,DEEPINDS,Deep Industries Limited,85920,SMALLCAP
994,PARAGMILK,Parag Milk Foods Limited,85391,SMALLCAP
995,AGARIND,Agarwal Industrial Corporation Limited,85192,SMALLCAP
996,CONTROLPR,Control Print Limited,85072,SMALLCAP
997,BAJAJHCARE,Bajaj Healthcare Limited,84686,SMALLCAP
998,KAMDHENU,Kamdhenu Limited,84349,SMALLCAP
999,CHEMCON,Chemcon Speciality Chemicals Limited,83811,SMALLCAP
"1,000",GICHSGFIN,GIC Housing Finance Limited,83388,SMALLCAP
"1,001",MEDICAMEQ,Medicamen Biotech Limited,83358,SMALLCAP
"1,002",DLINKINDIA,D-Link (India) Limited,82815,SMALLCAP
"1,003",ARIHANTSUP,Arihant Superstructures Limited,81538,SMALLCAP
"1,004",VHL,Vardhman Holdings Limited,81521,SMALLCAP
"1,005",PFS,PTC India Financial Services Limited,81249,SMALLCAP
"1,006",HEXATRADEX,Hexa Tradex Limited,81127,SMALLCAP
"1,007",RILINFRA,Rachana Infrastructure Limited,80820,SMALLCAP
"1,008",CAPACITE,Capacit'e Infraprojects Limited,80757,SMALLCAP
"1,009",SPAL,S. P. Apparels Limited,80748,SMALLCAP
"1,010",NCLIND,NCL Industries Limited,80673,SMALLCAP
"1,011",63MOONS,63 moons technologies limited,80522,SMALLCAP
"1,012",NAVKARCORP,Navkar Corporation Limited,79625,SMALLCAP
"1,013",ORIENTPPR,Orient Paper & Industries Limited,79357,SMALLCAP
"1,014",DREDGECORP,Dredging Corporation of India Limited,79240,SMALLCAP
"1,015",AMBIKCO,Ambika Cotton Mills Limited,78965,SMALLCAP
"1,016",CENTRUM,Centrum Capital Limited,78630,SMALLCAP
"1,017",LINC,Linc Limited,78593,SMALLCAP
"1,018",RGL,Renaissance Global Limited,78255,SMALLCAP
"1,019",SCHAND,S Chand And Company Limited,78188,SMALLCAP
"1,020",NELCAST,Nelcast Limited,77257,SMALLCAP
"1,021",FAZE3Q,Faze Three Limited,76933,SMALLCAP
"1,022",KICL,Kalyani Investment Company Limited,76471,SMALLCAP
"1,023",DVL,Dhunseri Ventures Limited,76371,SMALLCAP
"1,024",JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,75922,SMALLCAP
"1,025",POKARNA,Pokarna Limited,75820,SMALLCAP
"1,026",IFGLEXPOR,IFGL Refractories Limited,75484,SMALLCAP
"1,027",TRIL,Transformers And Rectifiers (India) Limited,75429,SMALLCAP
"1,028",CENTENKA,Century Enka Limited,75210,SMALLCAP
"1,029",SMCGLOBAL,SMC Global Securities Limited,74913,SMALLCAP
"1,030",ROHLTD,Royal Orchid Hotels Limited,74761,SMALLCAP
"1,031",INDNIPPON,India Nippon Electricals Limited,74741,SMALLCAP
"1,032",SHAKTIPUMP,Shakti Pumps (India) Limited,74329,SMALLCAP
"1,033",NGLFINE,NGL Fine-Chem Limited,74241,SMALLCAP
"1,034",IMPAL,India Motor Parts and Accessories Limited,74156,SMALLCAP
"1,035",BLISSGVS,Bliss GVS Pharma Limited,74105,SMALLCAP
"1,036",ALLSEC,Allsec Technologies Limited,74066,SMALLCAP
"1,037",ORIENTBELL,Orient Bell Limited,73160,SMALLCAP
"1,038",MANGLMCEM,Mangalam Cement Limited,72978,SMALLCAP
"1,039",SANDESH,The Sandesh Limited,72765,SMALLCAP
"1,040",BODALCHEM,Bodal Chemicals Limited,72485,SMALLCAP
"1,041",ESTER,Ester Industries Limited,72469,SMALLCAP
"1,042",ZOTA,Zota Health Care LImited,70889,SMALLCAP
"1,043",RSWM,RSWM Limited,70794,SMALLCAP
"1,044",INDRAMEDCO,Indraprastha Medical Corporation Limited,70634,SMALLCAP
"1,045",QUICKHEAL,Quick Heal Technologies Limited,70562,SMALLCAP
"1,046",SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,70376,SMALLCAP
"1,047",AURIONPRO,Aurionpro Solutions Limited,70236,SMALLCAP
"1,048",GSLSU,Global Surfaces Limited,70205,SMALLCAP
"1,049",SASTASUNDR,Sastasundar Ventures Limited,70158,SMALLCAP
"1,050",MANAKSIA,Manaksia Limited,70056,SMALLCAP
"1,051",AWHCL,Antony Waste Handling Cell Limited,70053,SMALLCAP
"1,052",BLKASHYAP,B. L. Kashyap and Sons Limited,69886,SMALLCAP
"1,053",RAMRAT,Ram Ratna Wires Limited,69564,SMALLCAP
"1,054",JINDRILL,Jindal Drilling And Industries Limited,69526,SMALLCAP
"1,055",VIMTALABS,Vimta Labs Limited,69452,SMALLCAP
"1,056",CLOUD,Varanium Cloud Limited,69053,SMALLCAP
"1,057",DPABHUSHAN,D. P. Abhushan Limited,68957,SMALLCAP
"1,058",MOLDTECH,Mold-Tek Technologies Limited,68940,SMALLCAP
"1,059",ATULAUTO,Atul Auto Limited,68770,SMALLCAP
"1,060",KOKUYOCMLN,Kokuyo Camlin Limited,68658,SMALLCAP
"1,061",SIGACHI,Sigachi Industries Limited,68633,SMALLCAP
"1,062",HIMATSEIDE,Himatsingka Seide Limited,68034,SMALLCAP
"1,063",LINCOLN,Lincoln Pharmaceuticals Limited,67951,SMALLCAP
"1,064",GREENPOWER,Orient Green Power Company Limited,67941,SMALLCAP
"1,065",EMAMIPAP,Emami Paper Mills Limited,67759,SMALLCAP
"1,066",SATINDLTD,Sat Industries Limited,67455,SMALLCAP
"1,067",RAMCOSYS,Ramco Systems Limited,67303,SMALLCAP
"1,068",HPAL,HP Adhesives Limited,67013,SMALLCAP
"1,069",OCCL,Oriental Carbon & Chemicals Limited,66954,SMALLCAP
"1,070",FOCUS,Focus Lighting and Fixtures Limited,66947,SMALLCAP
"1,071",GEPIL,GE Power India Limited,66690,SMALLCAP
"1,072",SUTLEJTEX,Sutlej Textiles and Industries Limited,66433,SMALLCAP
"1,073",PANACEABIO,Panacea Biotec Limited,66426,SMALLCAP
"1,074",JAIBALAJI,Jai Balaji Industries Limited,66253,SMALLCAP
"1,075",RML,Rane (Madras) Limited,66118,SMALLCAP
"1,076",JETAIRWAYS,Jet Airways (India) Limited,65432,SMALLCAP
"1,077",TRACXN,Tracxn Technologies Limited,65302,SMALLCAP
"1,078",KHAICHEM,Khaitan Chemicals & Fertilizers Limited,65031,SMALLCAP
"1,079",TNPETRO,Tamilnadu PetroProducts Limited,64330,SMALLCAP
"1,080",ONWARDTEC,Onward Technologies Limited,64317,SMALLCAP
"1,081",TFCILTD,Tourism Finance Corporation of India Limited,64119,SMALLCAP
"1,082",ONMOBILE,OnMobile Global Limited,63973,SMALLCAP
"1,083",INNOVANA,Innovana Thinklabs Limited,63755,SMALLCAP
"1,084",GANDHITUBE,Gandhi Special Tubes Limited,63217,SMALLCAP
"1,085",TEXINFRA,Texmaco Infrastructure & Holdings Limited,62821,SMALLCAP
"1,086",MEDICO,Medico Remedies Limited,62279,SMALLCAP
"1,087",TVSELECT,TVS Electronics Limited,61900,SMALLCAP
"1,088",HEUBACHIND,Heubach Colorants India Limited,61398,SMALLCAP
"1,089",VINYLINDIA,Vinyl Chemicals (India) Limited,61145,SMALLCAP
"1,090",PARACABLES,Paramount Communications Limited,60391,SMALLCAP
"1,091",FOODSIN,Foods & Inns Limited,60362,SMALLCAP
"1,092",HLVLTD,HLV LIMITED,60322,SMALLCAP
"1,093",COFFEEDAY,Coffee Day Enterprises Limited,60312,SMALLCAP
"1,094",BETA,Beta Drugs Limited,60274,SMALLCAP
"1,095",APEX,Apex Frozen Foods Limited,60219,SMALLCAP
"1,096",YUKEN,Yuken India Limited,60210,SMALLCAP
"1,097",ELIN,Elin Electronics Limited,59864,SMALLCAP
"1,098",MONARCH,Monarch Networth Capital Limited,59786,SMALLCAP
"1,099",DMCC,DMCC SPECIALITY CHEMICALS LIMITED,59581,SMALLCAP
"1,100",CHEVIOT,Cheviot Company Limited,59375,SMALLCAP
"1,101",XCHANGING,Xchanging Solutions Limited,59267,SMALLCAP
"1,102",VISAKAIND,Visaka Industries Limited,59084,SMALLCAP
"1,103",SUMMITSEC,Summit Securities Limited,59039,SMALLCAP
"1,104",SUKHJITS,Sukhjit Starch & Chemicals Limited,58817,SMALLCAP
"1,105",INDIANHUME,Indian Hume Pipe Company Limited,58791,SMALLCAP
"1,106",JUBLINDS,Jubilant Industries Limited,58468,SMALLCAP
"1,107",ASALCBR,Associated Alcohols & Breweries Ltd.,58342,SMALLCAP
"1,108",DECCANCE,Deccan Cements Limited,58257,SMALLCAP
"1,109",JAYBARMARU,Jay Bharat Maruti Limited,57567,SMALLCAP
"1,110",COOLCAPS,Cool Caps Industries Limited,57523,SMALLCAP
"1,111",APOLLO,Apollo Micro Systems Limited,57495,SMALLCAP
"1,112",ELDEHSG,Eldeco Housing And Industries Limited,57420,SMALLCAP
"1,113",HERCULES,Hercules Hoists Limited,57088,SMALLCAP
"1,114",4THDIM,Fourth Dimension Solutions Limited,56920,SMALLCAP
"1,115",KRITI,Kriti Industries (India) Limited,56424,SMALLCAP
"1,116",AGSTRA,AGS Transact Technologies Limited,56331,SMALLCAP
"1,117",NAHARPOLY,Nahar Poly Films Limited,56208,SMALLCAP
"1,118",MANINDS,Man Industries (India) Limited,55956,SMALLCAP
"1,119",ENIL,Entertainment Network (India) Limited,55679,SMALLCAP
"1,120",SYNCOMF,Syncom Formulations (India) Limited,55460,SMALLCAP
"1,121",KAMOPAINTS,Kamdhenu Ventures Limited,55218,SMALLCAP
"1,122",NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,55022,SMALLCAP
"1,123",SCPL,Sheetal Cool Products Limited,54994,SMALLCAP
"1,124",HPL,HPL Electric & Power Limited,54495,SMALLCAP
"1,125",INDOAMIN,Indo Amines Limited,54402,SMALLCAP
"1,126",DCMSRIND,DCM Shriram Industries Limited,54109,SMALLCAP
"1,127",MENONBE,Menon Bearings Limited,54051,SMALLCAP
"1,128",VASCONEQ,Vascon Engineers Limited,54003,SMALLCAP
"1,129",VLSFINANCE,VLS Finance Limited,53915,SMALLCAP
"1,130",BALAXI,BALAXI PHARMACEUTICALS LIMITED,53870,SMALLCAP
"1,131",ZEEMEDIA,Zee Media Corporation Limited,53787,SMALLCAP
"1,132",CREATIVE,Creative Newtech Limited,53676,SMALLCAP
"1,133",KRISHIVAL,Empyrean Cashews Limited,53615,SMALLCAP
"1,134",SNOWMAN,Snowman Logistics Limited,53468,SMALLCAP
"1,135",KOPRAN,Kopran Limited,53275,SMALLCAP
"1,136",SHREYAS,Shreyas Shipping & Logistics Limited,52555,SMALLCAP
"1,137",REFEX,Refex Industries Limited,52548,SMALLCAP
"1,138",KSOLVES,Ksolves India Limited,52433,SMALLCAP
"1,139",GFLLIMITED,GFL Limited,52289,SMALLCAP
"1,140",SPECTRUM,Spectrum Electrical Industries Limited,52163,SMALLCAP
"1,141",RUSHIL,Rushil Decor Limited,52115,SMALLCAP
"1,142",IRISDOREME,Iris Clothings Limited,51765,SMALLCAP
"1,143",BINDALAGRO,Oswal Chemicals & Fertilizers Limited,51362,SMALLCAP
"1,144",SELMC,SEL Manufacturing Company Limited,51276,SMALLCAP
"1,145",BHAGERIA,Bhageria Industries Limited,51064,SMALLCAP
"1,146",ZUARI,Zuari Agro Chemicals Limited,50974,SMALLCAP
"1,147",TALBROAUTO,Talbros Automotive Components Limited,50512,SMALLCAP
"1,148",RUBYMILLS,The Ruby Mills Limited,50511,SMALLCAP
"1,149",OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,49508,SMALLCAP
"1,150",DPWIRES,D P Wires Limited,49313,SMALLCAP
"1,151",SMSPHARMA,SMS Pharmaceuticals Limited,49310,SMALLCAP
"1,152",DHARMAJ,Dharmaj Crop Guard Limited,48938,SMALLCAP
"1,153",RBL,Rane Brake Lining Limited,48745,SMALLCAP
"1,154",GOYALALUM,Goyal Aluminiums Limited,48700,SMALLCAP
"1,155",NRL,Nupur Recyclers Limited,48208,SMALLCAP
"1,156",MIRZAINT,Mirza International Limited,48163,SMALLCAP
"1,157",VIKASLIFE,Vikas Lifecare Limited,48105,SMALLCAP
"1,158",WINDLAS,Windlas Biotech Limited,47559,SMALLCAP
"1,159",HITECHGEAR,The Hi-Tech Gears Limited,47408,SMALLCAP
"1,160",SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,46870,SMALLCAP
"1,161",SPENCERS,Spencer's Retail Limited,46692,SMALLCAP
"1,162",KANORICHEM,Kanoria Chemicals & Industries Limited,46555,SMALLCAP
"1,163",JPOLYINVST,Jindal Poly Investment and Finance Company Limited,46505,SMALLCAP
"1,164",ASAL,Automotive Stampings and Assemblies Limited,46499,SMALLCAP
"1,165",SILVERTUC,Silver Touch Technologies Limited,46343,SMALLCAP
"1,166",3IINFOLTD,3i Infotech Limited,46244,SMALLCAP
"1,167",MALLCOM,Mallcom (India) Limited,45795,SMALLCAP
"1,168",CREST,Crest Ventures Limited,45378,SMALLCAP
"1,169",REPRO,Repro India Limited,45370,SMALLCAP
"1,170",MARINE,Marine Electricals (India) Limited,45284,SMALLCAP
"1,171",KECL,Kirloskar Electric Company Limited,45261,SMALLCAP
"1,172",DENORA,De Nora India Limited,45211,SMALLCAP
"1,173",EXXARO,Exxaro Tiles Limited,45121,SMALLCAP
"1,174",MAGADSUGAR,Magadh Sugar & Energy Limited,44980,SMALLCAP
"1,175",ASIANTILES,Asian Granito India Limited,44424,SMALLCAP
"1,176",JAYAGROGN,Jayant Agro Organics Limited,44025,SMALLCAP
"1,177",DIGISPICE,DiGiSPICE Technologies Limited,43993,SMALLCAP
"1,178",BBTCL,B&B Triplewall Containers Limited,43935,SMALLCAP
"1,179",PREMEXPLN,Premier Explosives Limited,43477,SMALLCAP
"1,180",SWELECTES,Swelect Energy Systems Limited,43240,SMALLCAP
"1,181",KELLTONTEC,Kellton Tech Solutions Limited,42522,SMALLCAP
"1,182",MUTHOOTCAP,Muthoot Capital Services Limited,42336,SMALLCAP
"1,183",APCL,Anjani Portland Cement Limited,42182,SMALLCAP
"1,184",ASIANENE,Asian Energy Services Limited,42053,SMALLCAP
"1,185",DONEAR,Donear Industries Limited,41912,SMALLCAP
"1,186",ADSL,Allied Digital Services Limited,41616,SMALLCAP
"1,187",BANSWRAS,Banswara Syntex Limited,41472,SMALLCAP
"1,188",NAHARCAP,Nahar Capital and Financial Services Limited,41472,SMALLCAP
"1,189",ICEMAKE,Ice Make Refrigeration Limited,41374,SMALLCAP
"1,190",BAIDFIN,Baid Finserv Limited,41063,SMALLCAP
"1,191",STCINDIA,The State Trading Corporation of India Limited,41040,SMALLCAP
"1,192",TBZ,Tribhovandas Bhimji Zaveri Limited,40772,SMALLCAP
"1,193",SALZERELEC,Salzer Electronics Limited,40588,SMALLCAP
"1,194",IFBAGRO,IFB Agro Industries Limited,40335,SMALLCAP
"1,195",PTL,PTL Enterprises Limited,40309,SMALLCAP
"1,196",ARIHANTCAP,Arihant Capital Markets Limited,40240,SMALLCAP
"1,197",CSLFINANCE,CSL Finance Limited,40159,SMALLCAP
"1,198",JSLL,Jeena Sikho Lifecare Limited,40011,SMALLCAP
"1,199",UNIVPHOTO,Universus Photo Imagings Limited,39862,SMALLCAP
"1,200",HARDWYN,Hardwyn India Limited,39857,SMALLCAP
"1,201",DSSL,Dynacons Systems & Solutions Limited,39736,SMALLCAP
"1,202",REVATHI,Revathi Equipment Limited,39352,SMALLCAP
"1,203",HCL-INSYS,HCL Infosystems Limited,39341,SMALLCAP
"1,204",PLASTIBLEN,Plastiblends India Limited,39244,SMALLCAP
"1,205",UNIDT,United Drilling Tools Limited,39084,SMALLCAP
"1,206",CAREERP,Career Point Limited,39033,SMALLCAP
"1,207",ARROWGREEN,Arrow Greentech Limited,39010,SMALLCAP
"1,208",SREEL,Sreeleathers Limited,38924,SMALLCAP
"1,209",SBC,SBC Exports Limited,38836,SMALLCAP
"1,210",RADIOCITY,Music Broadcast Limited,38303,SMALLCAP
"1,211",SERVOTECH,Servotech Power Systems Limited,38278,SMALLCAP
"1,212",SAKAR,Sakar Healthcare Limited,38194,SMALLCAP
"1,213",BALAJITELE,Balaji Telefilms Limited,37519,SMALLCAP
