stock1 - stock2,corr
./data\20MICRONS.json - ./data\AVALON.json,
./data\20MICRONS.json - ./data\AVANTIFEED.json,0.012571570211293886
./data\20MICRONS.json - ./data\AVG.json,-0.00710695884422489
./data\20MICRONS.json - ./data\AVONMORE.json,
./data\20MICRONS.json - ./data\AVROIND.json,-0.021648080426958493
./data\20MICRONS.json - ./data\AVTNPL.json,0.2145784556638701
./data\20MICRONS.json - ./data\AWHCL.json,
./data\20MICRONS.json - ./data\AWL.json,
./data\20MICRONS.json - ./data\AXISBANK.json,0.2318389283517472
./data\20MICRONS.json - ./data\AXISCADES.json,0.04935685997677351
./data\20MICRONS.json - ./data\AXITA.json,
./data\20MICRONS.json - ./data\AYMSYNTEX.json,-0.03909797093980966
./data\20MICRONS.json - ./data\BAFNAPH.json,-0.011069354611829035
./data\20MICRONS.json - ./data\BAGFILMS.json,0.17531914931483186
./data\20MICRONS.json - ./data\BAIDFIN.json,
./data\20MICRONS.json - ./data\BAJAJ-AUTO.json,0.17629669390060745
./data\20MICRONS.json - ./data\BAJAJCON.json,-0.007552499075186259
./data\20MICRONS.json - ./data\BAJAJELEC.json,0.15840961379684823
./data\20MICRONS.json - ./data\BAJAJFINSV.json,0.22031307287858998
./data\20MICRONS.json - ./data\BAJAJHCARE.json,
./data\20MICRONS.json - ./data\BAJAJHIND.json,0.19491140164636922
./data\20MICRONS.json - ./data\BAJAJHLDNG.json,0.17532864924965408
./data\20MICRONS.json - ./data\BAJFINANCE.json,0.2042906806882303
./data\20MICRONS.json - ./data\BALAJITELE.json,0.20181086234885517
./data\20MICRONS.json - ./data\BALAMINES.json,0.20549668309422564
./data\20MICRONS.json - ./data\BALAXI.json,-0.016634757682016114
./data\20MICRONS.json - ./data\BALKRISHNA.json,0.13920176054641065
./data\20MICRONS.json - ./data\BALKRISIND.json,0.13920176054641065
./data\20MICRONS.json - ./data\BALMLAWRIE.json,0.1858537749814372
./data\20MICRONS.json - ./data\BALPHARMA.json,0.027639806403503508
./data\20MICRONS.json - ./data\BALRAMCHIN.json,0.19264008054322565
./data\20MICRONS.json - ./data\BANARBEADS.json,0.03231834767088882
./data\20MICRONS.json - ./data\BANARISUG.json,-0.012050921197553181
